0,0
0.002,1.2
0.004,2.4
0.006,3.6
0.008,4.8
0.01,6.0
0.012,7.2
0.014,8.4
0.016,9.6
0.018,10.8
0.02,12.0
0.022,13.2
0.024,14.4
0.026,15.6
0.028,16.8
0.03,18.0
0.032,19.2
0.034,20.4
0.036,21.6
0.038,22.8
0.04,24.0
0.042,25.2
0.044,26.4
0.046,27.6
0.048,28.8
0.05,30.0
0.052,31.2
0.054,32.4
0.056,33.6
0.058,34.8
0.06,36.0
0.062,37.2
0.064,38.4
0.066,39.6
0.068,40.8
0.07,42.0
0.072,43.2
0.074,44.4
0.076,45.6
0.078,46.8
0.08,48.0
0.082,49.2
0.084,50.4
0.086,51.6
0.088,52.8
0.09,54.0
0.092,55.2
0.094,56.4
0.096,57.6
0.098,58.8
0.1,60.0
0.102,61.2
0.104,62.4
0.106,63.6
0.108,64.8
0.11,66.0
0.112,67.2
0.114,68.4
0.116,69.6
0.118,70.8
0.12,72.0
0.122,73.2
0.124,74.4
0.126,75.6
0.128,76.8
0.13,78.0
0.132,79.2
0.134,80.4
0.136,81.6
0.138,82.8
0.14,84.0
0.142,85.2
0.144,86.4
0.146,87.6
0.148,88.8
0.15,90.0
0.152,91.2
0.154,92.4
0.156,93.6
0.158,94.8
0.16,96.0
0.162,97.2
0.164,98.4
0.166,99.6
0.168,100.8
0.17,102.0
0.172,103.2
0.174,104.4
0.176,105.6
0.178,106.8
0.18,108.0
0.182,109.2
0.184,110.4
0.186,111.6
0.188,112.8
0.19,114.0
0.192,115.2
0.194,116.4
0.196,117.6
0.198,118.8
0.2,120.0
0.202,121.2
0.204,122.4
0.206,123.6
0.208,124.8
0.21,126.0
0.212,127.2
0.214,128.4
0.216,129.6
0.218,130.8
0.22,132.0
0.222,133.2
0.224,134.4
0.226,135.6
0.228,136.8
0.23,138.0
0.232,139.2
0.234,140.4
0.236,141.6
0.238,142.8
0.24,144.0
0.242,145.2
0.244,146.4
0.246,147.6
0.248,148.8
0.25,150.0
0.252,151.2
0.254,152.4
0.256,153.6
0.258,154.8
0.26,156.0
0.262,157.2
0.264,158.4
0.266,159.6
0.268,160.8
0.27,162.0
0.272,163.2
0.274,164.4
0.276,165.6
0.278,166.8
0.28,168.0
0.282,169.2
0.284,170.4
0.286,171.6
0.288,172.8
0.29,174.0
0.292,175.2
0.294,176.4
0.296,177.6
0.298,178.8
0.3,180.0
0.302,181.2
0.304,182.4
0.306,183.6
0.308,184.8
0.31,186.0
0.312,187.2
0.314,188.4
0.316,189.6
0.318,190.8
0.32,192.0
0.322,193.2
0.324,194.4
0.326,195.6
0.328,196.8
0.33,198.0
0.332,199.2
0.334,200.4
0.336,201.6
0.338,202.8
0.34,204.0
0.342,205.2
0.344,206.4
0.346,207.6
0.348,208.8
0.35,210.0
0.352,211.2
0.354,212.4
0.356,213.6
0.358,214.8
0.36,216.0
0.362,217.2
0.364,218.4
0.366,219.6
0.368,220.8
0.37,222.0
0.372,223.2
0.374,224.4
0.376,225.6
0.378,226.8
0.38,228.0
0.382,229.2
0.384,230.4
0.386,231.6
0.388,232.8
0.39,234.0
0.392,235.2
0.394,236.4
0.396,237.6
0.398,238.8
0.4,240.0
0.402,241.2
0.404,242.4
0.406,243.6
0.408,244.8
0.41,246.0
0.412,247.2
0.414,248.4
0.416,249.6
0.418,250.8
0.42,252.0
0.422,253.2
0.424,254.4
0.426,255.6
0.428,256.8
0.43,258.0
0.432,259.2
0.434,260.4
0.436,261.6
0.438,262.8
0.44,264.0
0.442,265.2
0.444,266.4
0.446,267.6
0.448,268.8
0.45,270.0
0.452,271.2
0.454,272.4
0.456,273.6
0.458,274.8
0.46,276.0
0.462,277.2
0.464,278.4
0.466,279.6
0.468,280.8
0.47,282.0
0.472,283.2
0.474,284.4
0.476,285.6
0.478,286.8
0.48,288.0
0.482,289.2
0.484,290.4
0.486,291.6
0.488,292.8
0.49,294.0
0.492,295.2
0.494,296.4
0.496,297.6
0.498,298.8
0.5,300.0
0.502,301.2
0.504,302.4
0.506,303.6
0.508,304.8
0.51,306.0
0.512,307.2
0.514,308.4
0.516,309.6
0.518,310.8
0.52,312.0
0.522,313.2
0.524,314.4
0.526,315.6
0.528,316.8
0.53,318.0
0.532,319.2
0.534,320.4
0.536,321.6
0.538,322.8
0.54,324.0
0.542,325.2
0.544,326.4
0.546,327.6
0.548,328.8
0.55,330.0
0.552,331.2
0.554,332.4
0.556,333.6
0.558,334.8
0.56,336.0
0.562,337.2
0.564,338.4
0.566,339.6
0.568,340.8
0.57,342.0
0.572,343.2
0.574,344.4
0.576,345.6
0.578,346.8
0.58,348.0
0.582,349.2
0.584,350.4
0.586,351.6
0.588,352.8
0.59,354.0
0.592,355.2
0.594,356.4
0.596,357.6
0.598,358.8
0.6,360.0
0.602,361.2
0.604,362.4
0.606,363.6
0.608,364.8
0.61,366.0
0.612,367.2
0.614,368.4
0.616,369.6
0.618,370.8
0.62,372.0
0.622,373.2
0.624,374.4
0.626,375.6
0.628,376.8
0.63,378.0
0.632,379.2
